Method name: Clare_Fluorescein_calibration_230919 (Modified),,,,,,,,,,
Application: SparkControl,,,,V2.3,,,,,,
Device: Spark,,,,Serial number: 1806012423,,,,,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,,,,,
,,,,,,,,,,
Date:,,,,2019-12-19,,,,,,
Time:,,,,3:00 PM,,,,,,
System,,,,DESKTOP-0KND16G,,,,,,
User,,,,DESKTOP-0KND16G\Barnes Lab,,,,,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,,,,,
Lid lifter,,,,Removable lid,,,,,,
Humidity Cassette,,,,No humidity cassette,,,,,,
Smooth mode,,,,Not selected,,,,,,
,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,
Plate,,,,,,,,,,
,Absorbance,,,,,Abs600,,,,
,Absorbance,,,,,Abs700,,,,
,Fluorescence Top Reading,,,,,Gain 40,,,,
,Fluorescence Top Reading,,,,,Gain 50,,,,
,Fluorescence Top Reading,,,,,Gain 60,,,,
,Fluorescence Top Reading,,,,,Gain 70,,,,
,Fluorescence Top Reading,,,,,Gain 80,,,,
,Fluorescence Top Reading,,,,,Gain 90,,,,
,Fluorescence Top Reading,,,,,Gain 100,,,,
,Fluorescence Top Reading,,,,,Gain 110,,,,
,Fluorescence Top Reading,,,,,Gain 120,,,,
,,,,,,,,,,
H9,0.0567,17824,,,,,,,,
H10,0.051,17620,,,,,,,,
H11,0.0519,17416,,,,,,,,
H12,0.0419,17211,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End Time,,,,2019-12-19 14:46:09,,,,,,
,,,,,,,,,,
Mode,Absorbance,,,,,,,,,
Name,Abs700,,,,,,,,,
Measurement wavelength,,,,700,nm,,,,,
Number of flashes,,,,10,,,,,,
Settle time,,,,50,ms,,,,,
Part of Plate,,,,A1-H12,,,,,,
,,,,,,,,,,
Start Time,,,,2019-12-19 14:46:25,,,,,,
Temperature,,,,28.8,°C,,,,,
,,,,,,,,,,
<>,Value,Time [ms],,,,,,,,
A1,0.041,0,,,,,,,,
A2,0.0407,204,,,,,,,,
A3,0.0407,408,,,,,,,,
A4,0.0424,612,,,,,,,,
A5,0.0408,816,,,,,,,,
A6,0.0407,1020,,,,,,,,
A7,0.0411,1224,,,,,,,,
A8,0.0406,1428,,,,,,,,
A9,0.0406,1632,,,,,,,,
A10,0.0409,1836,,,,,,,,
A11,0.041,2040,,,,,,,,
A12,0.0408,2244,,,,,,,,
B1,0.0406,4703,,,,,,,,
B2,0.0407,4499,,,,,,,,
B3,0.0408,4295,,,,,,,,
B4,0.0408,4091,,,,,,,,
B5,0.0412,3887,,,,,,,,
B6,0.0408,3683,,,,,,,,
B7,0.0409,3478,,,,,,,,
B8,0.0409,3274,,,,,,,,
B9,0.0412,3070,,,,,,,,
B10,0.0407,2866,,,,,,,,
B11,0.0413,2662,,,,,,,,
B12,0.0422,2458,,,,,,,,
C1,0.101,4917,,,,,,,,
C2,0.0478,5121,,,,,,,,
C3,0.0419,5325,,,,,,,,
C4,0.0421,5529,,,,,,,,
C5,0.0407,5733,,,,,,,,
C6,0.0407,5937,,,,,,,,
C7,0.0411,6141,,,,,,,,
C8,0.0406,6345,,,,,,,,
C9,0.0407,6549,,,,,,,,
C10,0.0406,6753,,,,,,,,
C11,0.0412,6957,,,,,,,,
C12,0.0406,7161,,,,,,,,
D1,0.0407,9620,,,,,,,,
D2,0.0408,9416,,,,,,,,
D3,0.042,9212,,,,,,,,
D4,0.0406,9008,,,,,,,,
D5,0.0407,8804,,,,,,,,
D6,0.0409,8600,,,,,,,,
D7,0.0406,8396,,,,,,,,
D8,0.0407,8192,,,,,,,,
D9,0.0406,7988,,,,,,,,
D10,0.0419,7784,,,,,,,,
D11,0.0407,7580,,,,,,,,
D12,0.0449,7376,,,,,,,,
E1,0.6658,9834,,,,,,,,
E2,0.4308,10039,,,,,,,,
E3,0.2746,10243,,,,,,,,
E4,0.1863,10447,,,,,,,,
E5,0.1275,10651,,,,,,,,
E6,0.093,10855,,,,,,,,
E7,0.0722,11059,,,,,,,,
E8,0.0598,11263,,,,,,,,
E9,0.0516,11467,,,,,,,,
E10,0.0469,11671,,,,,,,,
